run_id,instrument_id,technician,run_date,deviation_ppm,passed
RW-0001,INST-A,okafor,2026-04-01,0.42,true
RW-0002,INST-A,okafor,2026-04-01,0.51,true
RW-0003,INST-A,lindqvist,2026-04-02,1.88,false
RW-0004,INST-A,lindqvist,2026-04-02,0.33,true
RW-0005,INST-B,okafor,2026-04-02,0.75,true
RW-0006,INST-B,okafor,2026-04-03,0.64,true
RW-0007,INST-B,moreau,2026-04-03,2.10,false
RW-0008,INST-B,moreau,2026-04-03,0.28,true
RW-0009,INST-B,lindqvist,2026-04-04,0.95,true
RW-0010,INST-C,moreau,2026-04-04,0.17,true
RW-0011,INST-C,moreau,2026-04-04,0.22,true
RW-0012,INST-C,okafor,2026-04-05,1.55,false
RW-0013,INST-C,okafor,2026-04-05,0.49,true
RW-0014,INST-C,lindqvist,2026-04-06,0.38,true
RW-0015,INST-D,moreau,2026-04-06,0.81,true
RW-0016,INST-D,moreau,2026-04-07,0.60,true
RW-0017,INST-D,lindqvist,2026-04-07,0.44,true
RW-0018,INST-D,okafor,2026-04-08,3.02,false
RW-0019,INST-D,okafor,2026-04-08,0.29,true
RW-0020,INST-D,moreau,2026-04-08,0.36,true
